Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50048_component_2a,18.346655,-53.497166,1008.0850219726562,18.346749999999997,-53.49708333333333,1060.0,0.9909778023377601,0.9510236056345813
SB50048_component_11a,20.293862,-56.039014,294.7330017089844,20.294375,-56.03908333333332,317.3,0.9679018607625155,0.9288780387928911
SB50048_component_14a,17.690664,-56.929265,251.70599365234375,17.689124999999997,-56.92883333333332,280.9,0.933715240537042,0.8960697531233314
SB50048_component_17a,27.16825,-54.133245,237.07699584960938,27.16995833333333,-54.13372222222222,244.3,1.0112035325126505,0.9704338757659
SB50048_component_37a,20.441701,-54.747289,131.21499633789062,20.44183333333333,-54.74663888888888,128.6,1.0632004059210287,1.0203343416632242
SB50048_component_49a,22.321787,-55.445684,97.25399780273438,22.321999999999996,-55.445499999999996,104.5,0.9697589625682778,0.9306602660548744
SB50048_component_69a,18.787012,-53.520125,84.90699768066406,18.787499999999998,-53.519999999999996,93.6,0.9452360254792128,0.9071260435968383
SB50048_component_75a,26.958955,-57.583106,77.60199737548828,26.95945833333333,-57.58341666666666,87.5,0.92413937825136,0.8868799700055804
SB50048_component_78a,25.012462,-54.114059,72.58699798583984,25.014124999999996,-54.11477777777777,76.7,0.9861343825898535,0.9463754626576251
SB50048_component_79a,27.544639,-55.814845,74.5979995727539,27.544666666666664,-55.81488888888888,86.1,0.9028106212830991,0.8664111448635762
SB50048_component_90a,18.840228,-53.252034,70.4010009765625,18.840625,-53.251999999999995,79.6,0.921591363126303,0.8844346856352073
SB50048_component_94a,17.539475,-57.716936,67.48600006103516,17.538874999999997,-57.71666666666666,74.4,0.9451775162015359,0.9070698932934832
SB50048_component_96a,25.496803,-54.472745,64.49800109863281,25.497791666666664,-54.47297222222222,77.1,0.8716949037743784,0.8365499493986098
SB50048_component_102a,23.339219,-57.880601,67.99199676513672,23.338791666666662,-57.88047222222222,71.2,0.9950626647877007,0.954943774791246
SB50048_component_104a,20.90991,-56.39863,62.29399871826172,20.910416666666663,-56.39858333333333,70.2,0.9246592682676886,0.8873788991205372
SB50048_component_108a,27.04688,-57.510034,62.85300064086914,27.04758333333333,-57.510166666666656,70.3,0.9316296902146436,0.894068287921325
SB50048_component_123a,22.424906,-56.827688,54.832000732421875,22.425749999999997,-56.827722222222214,62.3,0.917104186380132,0.8801284226712982
SB50048_component_125a,24.793895,-53.341533,53.82899856567383,24.795416666666664,-53.34199999999999,62.5,0.8974472117765773,0.8612639770507813
SB50048_component_129a,19.687623,-55.774208,54.9640007019043,19.688416666666665,-55.77416666666666,64.9,0.8824828402919733,0.84690293839606
SB50048_component_132a,23.082236,-53.420784,55.92900085449219,23.08283333333333,-53.42055555555555,62.5,0.9324588458222138,0.894864013671875
SB50048_component_135a,26.528107,-56.386357,51.499000549316406,26.528791666666663,-56.38677777777777,53.5,1.0030386046767166,0.9625981411087179
SB50048_component_139a,25.085638,-53.623285,48.29199981689453,25.08695833333333,-53.62327777777777,50.1,1.0044078403414145,0.9639121719939028
SB50048_component_162a,17.92506,-55.712271,43.68000030517578,17.92395833333333,-55.71249999999999,51.6,0.8820750963145303,0.8465116338212361
SB50048_component_181a,24.742037,-54.099417,38.98400115966797,24.743791666666663,-54.09952777777777,40.6,1.0005366633112245,0.9601970728982258
SB50048_component_182a,18.305445,-56.432118,33.999000549316406,18.304791666666663,-56.431861111111104,40.8,0.8683176264599536,0.8333088369930493
SB50048_component_187a,23.638824,-53.92022,31.791000366210938,23.639541666666663,-53.920361111111106,33.1,1.0008035333353675,0.9604531832692126
SB50048_component_195a,23.532672,-57.649067,31.6560001373291,23.53333333333333,-57.648444444444436,31.5,1.047172226167924,1.004952385312035
SB50048_component_199a,22.056029,-56.140608,30.823999404907227,22.056916666666663,-56.14008333333333,33.6,0.9559217428037299,0.9173809346698579
SB50048_component_212a,19.999268,-56.758067,27.916000366210938,19.998666666666665,-56.758111111111106,30.9,0.9413851552395537,0.9034304325634608
SB50048_component_215a,18.890934,-54.491806,27.63599967956543,18.891999999999996,-54.491833333333325,32.1,0.8971039651825322,0.860934569456867
SB50048_component_220a,22.217431,-53.158179,26.64900016784668,22.219374999999996,-53.158249999999995,30.0,0.9256190720667368,0.8883000055948893
SB50048_component_224a,22.816762,-55.202043,26.78700065612793,22.817041666666665,-55.202055555555546,27.7,1.007666797716873,0.9670397348782647
SB50048_component_231a,18.690686,-57.839641,25.322999954223633,18.689874999999997,-57.84055555555555,26.5,0.9957307289073644,0.9555849039329672
SB50048_component_242a,24.993726,-57.309043,26.128000259399414,24.993874999999996,-57.30902777777777,24.9,1.0934009686269588,1.0493172794939525
SB50048_component_253a,24.278798,-53.776957,23.826000213623047,24.280499999999996,-53.77694444444444,30.1,0.8248163770168137,0.7915614688911311
SB50048_component_257a,22.849336,-56.704154,23.924999237060547,22.85008333333333,-56.704249999999995,28.7,0.8686456828246117,0.8336236667965348
SB50048_component_262a,23.719114,-55.737141,23.260000228881836,23.71908333333333,-55.73705555555555,24.1,1.0056927093490278,0.9651452377129391
SB50048_component_277a,27.123988,-55.049349,21.437000274658203,27.12470833333333,-55.04922222222221,20.8,1.0739234069152763,1.0306250132047212
