INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
10,7,EMU_1252-78,73339,0,73340,IMAGED,12 52 05.776,-78 00 42.46,193.024066666667,-78.0117944444445,302.967341285719,-15.1400921316402,121.696,5252727396.335999,36010.96703961304,35991.06048000001,36,5252792022.507154,134092703,15.000000000000012,15.000000000000012,0.0,-0.003840862540528178,1.0892133712768555,29.92010593767781,29.494344970872234,12.482437378088349,20.88350132715269,740.7517459677094,5252849174,4536,1,0,0,,0,1.0,--NULL--
11,8,EMU_1107-78,70395,0,70397,OBSERVED,11 07 54.223,-78 00 42.46,166.975929166667,-78.0117944444445,297.512560951995,-16.2437211838337,148.304,5244197453.291902,36020.92032006195,36020.920320000005,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
12,8,EMU_1107-78,70399,0,70397,OBSERVED,11 07 54.223,-78 00 42.46,166.975929166667,-78.0117944444445,297.512560951995,-16.2437211838337,148.304,5244278243.9550705,36001.0137601178,36001.01376,36,5244348335.041461,134513326,15.000000000000012,15.000000000000012,0.0,-0.008612184785306454,1.7733794450759888,32.17929128897111,31.715385497822638,10.199706434445082,22.745180342089608,587.0890514862988,5244382085,4536,1,0,0,,0,1.0,--NULL--
13,9,EMU_0941-75,72176,0,72147,OBSERVED,09 41 17.715,-75 45 16.71,145.3238125,-75.7546416666667,291.983293046439,-17.1039693867705,170.518,5249529571.479934,36010.96704056671,36010.96704,36,5249593053.885258,134048356,15.000000000000012,15.000000000000012,0.0,-0.00941778440028429,3.775239944458008,30.796312950026824,29.717200005265266,15.914039039519572,21.202106230386192,933.1495993397164,5249649960,4536,1,0,0,,0,1.0,--NULL--
14,10,EMU_0844-72,-1,0,-1,__NULL__,08 44 25.892,-72 04 25.51,131.107883333333,-72.0737527777778,286.395538794753,-17.7098521833922,-174.701,5202566932.709758,36010.96704056671,36010.96704,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,-1,1.0,--NULL--
15,10,EMU_0844-72,70270,0,70272,OBSERVED,08 44 25.892,-72 04 25.51,131.107883333333,-72.0737527777778,286.395538794753,-17.7098521833922,-174.701,5243133390.59443,36010.96704056671,36001.01376,36,5243234893.538047,133757539,15.000000000000012,15.000000000000012,0.0,-0.0649980828166008,4.017247200012207,38.42315415791709,36.22179935193131,62.67120397766351,23.906856134611203,3202.7539517633822,5243305063,4536,1,0,0,,0,1.0,--NULL--
16,10,EMU_0844-72,72044,0,72060,OBSERVED,08 44 25.892,-72 04 25.51,131.107883333333,-72.0737527777778,286.395538794753,-17.7098521833922,-174.701,5249270943.904126,36020.92032006195,36020.920320000005,36,5249352713.36439,134047132,15.000000000000012,15.000000000000012,0.0,-0.017941737547516823,3.969064235687256,35.716269968879764,34.27453063852136,48.003398794834986,21.841336215664672,2955.4980835091014,5249394096,4536,1,0,0,,0,1.0,--NULL--
17,11,EMU_1625-72,50417,0,50414,OBSERVED,16 25 11.603,-72 19 38.12,246.298345833333,-72.3272555555556,317.617197992083,-15.873942655581,67.699,5192944239.182206,36010.96704056671,36010.96704,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
18,11,EMU_1625-72,70006,0,69985,IMAGED,16 25 11.603,-72 19 38.12,246.298345833333,-72.3272555555556,317.617197992083,-15.873942655581,67.699,5242384718.033278,36020.92032006195,36020.920320000005,36,5242439089.9912,133742270,15.000000000000012,15.000000000000012,0.0,-0.01882709376513958,1.239119291305542,35.08988559643723,34.45829653242516,12.80203543651938,24.34143236250768,732.8457786384736,5242488668,4536,1,0,0,,0,1.0,--NULL--
19,12,EMU_1547-77,71330,0,71331,OBSERVED,15 47 19.608,-77 06 42.13,236.8317,-77.1117027777778,312.279997596946,-17.5556004808584,77.502,5247122320.834943,36010.96703961304,36010.96704,36,5247188572.18981,133398171,15.000000000000012,15.000000000000012,0.0,-0.0064731682650744915,6.107903957366943,36.519687559270615,35.24324315486666,22.945592221225567,23.28370570076051,1212.045156310628,5247259100,4536,1,0,0,,0,1.0,--NULL--
