Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB60338_component_5a,353.273138,-52.174101,531.9240112304688,3643.315185546875,353.27344290473405,-52.17422332481388,419.0131852962913,0.9992846043168127,1.269468431773421
SB60338_component_6a,352.336525,-49.92768,527.8610229492188,3717.3310546875,352.33700177693987,-49.92775166743829,486.1463847762053,0.8547120471448223,1.0858067435639094
SB60338_component_8a,354.338054,-50.557285,475.6080017089844,5006.39990234375,354.3386323601376,-50.55738328670139,384.5842838668645,0.9734752419359893,1.2366808048600095
SB60338_component_30a,358.16533,-51.467667,188.42999267578125,2812.387939453125,358.16579094688495,-51.467761567618034,176.25011855522206,0.8415654631485958,1.0691056222849746
SB60338_component_42a,359.655224,-50.273988,163.98300170898438,2688.245849609375,359.6556980989843,-50.27405635726803,134.6103212067542,0.9589318910608834,1.2182052627087585
SB60338_component_48a,352.369509,-49.645193,148.6510009765625,2562.948486328125,352.3699409033418,-49.6453125258683,103.13186184390736,1.1345986712318097,1.4413683445524283
SB60338_component_53a,359.922213,-52.422989,133.57699584960938,1628.9876708984375,359.9224654970465,-52.42316576761837,99.10100416566205,1.0610134947970034,1.347887410165043
SB60338_component_57a,353.686288,-48.689651,125.93800354003906,2332.185302734375,353.68661607551644,-48.689914923577206,93.93576609460249,1.05534173541807,1.340682136058881
SB60338_component_60a,355.974986,-51.505441,116.50800323486328,2080.5,355.9754803039809,-51.505495947509054,91.80211824789538,0.9990111782989659,1.2691210775796484
SB60338_component_65a,352.543142,-50.220491,97.50199890136719,2119.608642578125,352.5436273074048,-50.22057439321024,83.19318290615135,0.9225567053036193,1.1719950541062643
SB60338_component_66a,356.891335,-53.477244,95.96700286865234,1547.8548583984375,356.89147796024474,-53.47751836099461,76.1215357445117,0.9923884038763884,1.26070765559366
SB60338_component_68a,352.490546,-49.256368,92.33799743652344,1923.708251953125,352.4908921982776,-49.256580873461054,75.91236319490464,0.9574921695498141,1.2163762732487469
SB60338_component_70a,355.963269,-50.03839,90.24400329589844,2005.4222412109375,355.963584686807,-50.03850154000732,68.60443000081455,1.0354603730700498,1.3154253055499034
SB60338_component_76a,351.620238,-49.865227,86.65799713134766,1883.8695068359375,351.62074219435465,-49.86528862654937,65.47195650260585,1.0418869992034185,1.323589545210835
SB60338_component_83a,356.130941,-51.317996,82.77300262451172,1689.2449951171875,356.13148480028025,-51.31803776073157,59.638617927779585,1.0925175697635385,1.387909470416419
SB60338_component_89a,356.04167,-52.089633,76.93800354003906,1923.4500732421875,356.04187863003835,-52.08972446975802,53.12161302450428,1.1400842594171134,1.4483371110088206
SB60338_component_90a,359.427543,-48.677699,75.00199890136719,1415.132080078125,359.42817923512655,-48.67793036385862,56.43102834647247,1.046217943673363,1.3290914785545564
SB60338_component_91a,359.526816,-53.009322,76.40299987792969,1625.5958251953125,359.5270219407486,-53.00962336118558,57.015436492325684,1.0548367410160195,1.3400406026570293
SB60338_component_93a,355.86515,-51.986417,73.9729995727539,1849.3250732421875,355.86536010191435,-51.98652520940165,54.6319689526181,1.0658440555962931,1.3540240447293805
SB60338_component_97a,359.745872,-52.718277,70.52100372314453,1500.4468994140625,359.7461419415427,-52.718475502387754,49.10259086013336,1.1305281165091312,1.4361972044208544
SB60338_component_109a,356.514868,-49.317344,66.34100341796875,1579.5477294921875,356.5152681726001,-49.317502749327694,52.578235494957106,0.9932151136276622,1.2617578888574847
SB60338_component_110a,356.904087,-53.64325,65.96199798583984,2127.806396484375,356.9041966583998,-53.643536443566354,44.281552939772915,1.1725685718447596,1.4896044426344843
SB60338_component_116a,356.367451,-49.262531,62.827999114990234,1532.39013671875,356.36750051399224,-49.262832418432964,32.61653276846366,1.5162915939888584,1.9262623517033517
SB60338_component_119a,354.019565,-52.410806,59.80500030517578,1128.396240234375,354.0196826015198,-52.410948016583454,45.23333812846444,1.040749351026976,1.3221443028442263
SB60338_component_139a,353.246882,-53.432785,49.09199905395508,1141.67431640625,353.2468672180436,-53.433045636454146,58.38778969932397,0.6618445132274197,0.8407922154060146
SB60338_component_140a,352.966141,-52.067509,54.85300064086914,1306.0238037109375,352.9662976556446,-52.06753931119333,23.76889369732562,1.8165975007866622,2.3077641449943034
SB60338_component_142a,352.091309,-51.682387,48.66699981689453,1216.675048828125,352.09174346373294,-51.6825067204526,37.38059626236139,1.0248389911043758,1.3019321434927846
SB60338_component_146a,354.87243,-49.413639,53.42399978637695,1618.9090576171875,354.8729863955135,-49.41438221251016,24.18800818426735,1.7386156472538203,2.2086977720276124
SB60338_component_155a,355.175903,-49.664112,45.029998779296875,1407.1873779296875,355.1761601869743,-49.6643053144332,33.28298798718012,1.0649934033669828,1.3529433954860497
SB60338_component_160a,353.891574,-49.436181,43.88999938964844,1290.88232421875,353.891696468279,-49.43641935895381,34.67094006245826,0.9964769296196502,1.2659016257010174
SB60338_component_173a,353.334555,-49.240209,41.39799880981445,1149.9444580078125,353.33477181100005,-49.24051245206059,29.09812204764796,1.119906273234263,1.4227034563270282
SB60338_component_182a,357.246689,-49.542312,40.189998626708984,1030.5128173828125,357.2470503159678,-49.54241546663863,31.15738791186406,1.0153697969944726,1.2899026946801757
SB60338_component_184a,354.549803,-49.580945,37.51499938964844,1172.3436279296875,354.5499868261862,-49.58115121323784,26.801981707773752,1.1018064947729829,1.3997099094641736
SB60338_component_191a,352.445603,-50.017389,35.9630012512207,781.8043823242188,352.44609523982786,-50.01744195457475,39.88884368429941,0.7096950431986259,0.9015804402817534
SB60338_component_194a,359.946975,-50.709111,34.82400131225586,809.8604736328125,359.947406691011,-50.70912805416203,38.69788807652612,0.7083676135654092,0.8998941038691946
SB60338_component_202a,357.701625,-50.216876,34.76599884033203,914.8947143554688,357.7021409521939,-50.21692346270644,26.58186406625333,1.0295242231125,1.307884155666448
SB60338_component_209a,357.776683,-52.048616,32.48899841308594,984.51513671875,357.7770230969189,-52.048622939462405,23.602771176699065,1.0835291951869133,1.3764908438022507
SB60338_component_210a,355.600462,-52.146141,32.63100051879883,836.6923217773438,355.60054316014157,-52.146235479881724,22.688948179513346,1.1320961611597657,1.4381892126785547
SB60338_component_232a,355.838023,-53.640285,29.718000411987305,1024.7586669921875,355.8380674566539,-53.640613674937974,17.731628784773598,1.3192838452661293,1.6759881888293633
SB60338_component_234a,354.064486,-53.025851,29.804000854492188,634.127685546875,354.06457103918757,-53.02601283788675,24.9931797588181,0.9386860098195158,1.1924853556889548
SB60338_component_236a,355.263168,-49.189048,29.312999725341797,862.1470336914062,355.26345227196384,-49.18929786378478,20.856938135028027,1.1063104171334628,1.405431589985507
SB60338_component_238a,359.73522,-48.853705,29.714000701904297,707.4761962890625,359.73582616258307,-48.85393397883322,20.24383920691166,1.1554084541063927,1.4678046193806624
SB60338_component_248a,357.063393,-50.793936,27.569000244140625,787.6857299804688,357.06415392444944,-50.79385806697196,25.48439185870668,0.8515576085790153,1.081799416560209
SB60338_component_253a,351.294663,-49.869456,27.732999801635742,346.6625061035156,351.2952472082952,-49.86951890213786,19.238598319603273,1.1347252324041934,1.4415291249870867
SB60338_component_255a,355.592141,-49.4013,26.80299949645996,924.2413940429688,355.5923614320346,-49.401636527831144,21.4283142804214,0.9846064617609828,1.250821653336926
SB60338_component_274a,359.673033,-52.638978,25.027999877929688,610.4390258789062,359.67321306619726,-52.6391582796021,18.67518516758691,1.0549418428316149,1.3401741216129344
