Component_ID,RA,DEC,RA_comp,DEC_comp
SB54798_component_1a,1.557976,-6.393756,1.557887,-6.393149
SB54798_component_21a,357.292296,-4.634706,357.292359,-4.634275
SB54798_component_31a,357.048945,-4.432779,357.048991,-4.432328
